league,club,country_code,level,elo,snapshot_date,fetched_at,source
Eredivisie,Volendam,NED,1,1317.81616211,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Brugge,BEL,1,1716.35644531,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,St Gillis,BEL,1,1699.25744629,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Genk,BEL,1,1575.73095703,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Anderlecht,BEL,1,1563.14587402,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Antwerp,BEL,1,1530.76013184,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,St Truiden,BEL,1,1516.98608398,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Mechelen,BEL,1,1494.0604248,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Charleroi,BEL,1,1493.83447266,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Gent,BEL,1,1477.54553223,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Westerlo,BEL,1,1467.3079834,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Standard,BEL,1,1440.10644531,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Cercle Brugge,BEL,1,1429.97241211,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Leuven,BEL,1,1413.09655762,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Zulte Waregem,BEL,1,1381.09643555,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,Dender,BEL,1,1367.92407227,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Belgium_Pro_League,RAAL,BEL,1,1351.40124512,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Galatasaray,TUR,1,1718.75927734,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Fenerbahce,TUR,1,1702.97949219,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Trabzonspor,TUR,1,1515.1451416,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
